algorithm,df
p35pf_double,9.6287e-16
p35pf_double,1.74397e-13
p35pf_double,3.41791e-12
p35pf_double,1.50647e-12
p35pf_double,3.50067e-15
p35pf_double,3.355e-15
p35pf_double,1.87632e-12
p35pf_double,1.69928e-15
p35pf_double,1.12196e-13
p35pf_double,1.0575e-14
p35pf_double,1.17985e-14
p35pf_double,4.9011e-14
p35pf_double,1.92156e-11
p35pf_double,5.15671e-15
p35pf_double,1.53133e-15
p35pf_double,7.75458e-16
p35pf_double,8.15917e-14
p35pf_double,2.43169e-14
p35pf_double,7.28071e-14
p35pf_double,1.03919e-13
p35pf_double,1.46864e-13
p35pf_double,4.32216e-15
p35pf_double,8.40836e-15
p35pf_double,3.70422e-15
p35pf_double,5.07441e-15
p35pf_double,6.01503e-14
p35pf_double,2.0879e-13
p35pf_double,2.45841e-16
p35pf_double,3.50978e-14
p35pf_double,2.14438e-14
p35pf_double,3.30028e-15
p35pf_double,5.374e-16
p35pf_double,3.53845e-14
p35pf_double,1.86712e-13
p35pf_double,2.26292e-13
p35pf_double,2.44067e-13
p35pf_double,5.32526e-15
p35pf_double,1.86181e-14
p35pf_double,1.53107e-14
p35pf_double,1.64531e-13
p35pf_double,4.90492e-16
p35pf_double,2.04684e-14
p35pf_double,1.17352e-12
p35pf_double,1.74306e-14
p35pf_double,7.66601e-15
p35pf_double,0
p35pf_double,1.8339e-13
p35pf_double,8.48817e-15
p35pf_double,1.3539e-13
p35pf_double,2.28691e-11
p35pf_double,2.10583e-14
p35pf_double,1.10725e-15
p35pf_double,4.50534e-15
p35pf_double,1.98043e-15
p35pf_double,6.07253e-16
p35pf_double,2.55428e-15
p35pf_double,9.73715e-14
p35pf_double,5.47976e-15
p35pf_double,5.67449e-15
p35pf_double,4.33149e-15
p35pf_double,8.63078e-15
p35pf_double,5.94536e-10
p35pf_double,5.65314e-14
p35pf_double,8.10751e-16
p35pf_double,9.83699e-15
p35pf_double,1.27716e-14
p35pf_double,9.89899e-16
p35pf_double,9.97526e-15
p35pf_double,2.67167e-15
p35pf_double,1.3254e-15
p35pf_double,1.35936e-15
p35pf_double,1.41388e-14
p35pf_double,2.84054e-14
p35pf_double,4.42359e-14
p35pf_double,7.04928e-14
p35pf_double,4.33351e-14
p35pf_double,3.6988e-15
p35pf_double,5.74689e-15
p35pf_double,4.63329e-12
p35pf_double,4.70574e-16
p35pf_double,1.80279e-14
p35pf_double,1.68102e-14
p35pf_double,1.97154e-11
p35pf_double,7.10385e-12
p35pf_double,2.26459e-14
p35pf_double,2.60934e-14
p35pf_double,1.33734e-13
p35pf_double,2.45353e-13
p35pf_double,1.61705e-15
p35pf_double,6.69688e-14
p35pf_double,9.33972e-16
p35pf_double,2.52375e-12
p35pf_double,2.1047e-14
p35pf_double,2.57094e-14
p35pf_double,5.06009e-15
p35pf_double,7.90607e-16
p35pf_double,2.24685e-14
p35pf_double,4.08299e-14
p35pf_double,4.67568e-14
p35pf_double,2.23275e-15
p35pf_double,4.72731e-15
p35pf_double,1.08634e-15
p35pf_double,1.43462e-14
p35pf_double,0
p35pf_double,2.43078e-11
p35pf_double,3.75871e-16
p35pf_double,7.97423e-13
p35pf_double,2.99243e-15
p35pf_double,6.45695e-14
p35pf_double,3.804e-14
p35pf_double,2.08517e-13
p35pf_double,1.59832e-16
p35pf_double,6.33863e-14
p35pf_double,2.03174e-16
p35pf_double,2.38371e-13
p35pf_double,2.55323e-16
p35pf_double,1.5008e-13
p35pf_double,1.01912e-14
p35pf_double,9.75472e-15
p35pf_double,5.87245e-14
p35pf_double,1.12718e-13
p35pf_double,7.66353e-14
p35pf_double,9.72396e-15
p35pf_double,5.0299e-15
p35pf_double,1.11481e-13
p35pf_double,8.22345e-14
p35pf_double,1.39347e-15
p35pf_double,2.00538e-13
p35pf_double,1.1663e-13
p35pf_double,1.53191e-14
p35pf_double,1.48503e-15
p35pf_double,1.04664e-14
p35pf_double,0
p35pf_double,1.0886e-12
p35pf_double,4.062e-13
p35pf_double,1.01739e-15
p35pf_double,4.24141e-14
p35pf_double,1.31109e-15
p35pf_double,2.01382e-12
p35pf_double,1.05176e-12
p35pf_double,5.0027e-15
p35pf_double,9.1584e-15
p35pf_double,1.1668e-11
p35pf_double,6.58238e-16
p35pf_double,2.44419e-15
p35pf_double,2.63164e-14
p35pf_double,2.90777e-10
p35pf_double,2.36581e-13
p35pf_double,4.62698e-16
p35pf_double,1.9784e-15
p35pf_double,5.97275e-15
p35pf_double,1.36768e-13
p35pf_double,7.2734e-15
p35pf_double,1.30012e-13
p35pf_double,0
p35pf_double,4.59178e-15
p35pf_double,1.8458e-12
p35pf_double,1.69438e-16
p35pf_double,0
p35pf_double,5.38755e-16
p35pf_double,6.07155e-15
p35pf_double,8.43016e-15
p35pf_double,2.8316e-14
p35pf_double,6.16538e-15
p35pf_double,3.18817e-14
p35pf_double,3.41017e-14
p35pf_double,1.2142e-15
p35pf_double,5.08483e-13
p35pf_double,1.93045e-15
p35pf_double,2.11769e-14
p35pf_double,2.68434e-15
p35pf_double,1.0338e-15
p35pf_double,1.26959e-15
p35pf_double,6.40643e-15
p35pf_double,1.54085e-12
p35pf_double,3.82465e-15
p35pf_double,3.42318e-10
p35pf_double,4.50384e-15
p35pf_double,4.94435e-14
p35pf_double,2.01963e-12
p35pf_double,3.47142e-15
p35pf_double,7.00843e-15
p35pf_double,4.38614e-16
p35pf_double,5.36827e-14
p35pf_double,1.76156e-15
p35pf_double,6.7758e-14
p35pf_double,4.90462e-14
