f,algo
0.0023304040,p35p
0.0028083382,p35p
0.0028144434,p35p
62400.0161611625,p4p
2.5182948226,p4p
1.2537453824,p4p
0.2983783721,p4p
0.1960908128,p4p
0.4584112211,p4p
28.5784695750,p4p
33.7441076361,p4p
0.4531629620,p4p
0.6369096410,p4p
0.9628672162,real
0.1001971656,real
0.1076518065,real
0.0892324896,real
0.0929644034,real
0.1026865271,real
0.2645122925,real
0.1820993362,real
0.9999986744,real
0.9930809750,real
8.6499873126,real
0.2316447869,real
0.9999419297,real
0.1157618730,real
0.0081830640,p35p
0.0087950735,p35p
0.0091376816,p35p
0.0098536448,p35p
0.0087101535,p35p
0.0082504144,p35p
0.0087101535,p35p
0.0096750201,p35p
0.0102401771,p35p
0.0094524712,p35p
0.0080395786,p35p
0.0081201061,p35p
0.0080732537,p35p
0.0080542199,p35p
0.0067262473,p35p
0.0059619676,p35p
0.0058638704,p35p
0.0048536155,p35p
0.0044436571,p35p
0.0032972375,p35p
0.0034743981,p35p
0.0032137816,p35p
0.0031537520,p35p
0.0035534615,p35p
0.0036808415,p35p
0.0055359036,p35p
0.0052079368,p35p
0.0068565555,p35p
0.0060834910,p35p
0.0053499581,p35p
0.0046998811,p35p
0.0082621275,p4p
0.0094773615,p4p
0.0092548126,p4p
0.0100571599,p4p
0.0091918547,p4p
0.0085622756,p4p
0.0090410486,p4p
0.0100454468,p4p
0.0106442790,p4p
0.0099239234,p4p
0.0081362116,p4p
0.0081611020,p4p
0.0081318192,p4p
0.0080117600,p4p
0.0066808590,p4p
0.0059458621,p4p
0.0059268283,p4p
0.0049048604,p4p
0.0031962120,p4p
0.0028477473,p4p
0.0029297390,p4p
0.0032723471,p4p
0.0033294485,p4p
0.0036105629,p4p
0.0030336927,p4p
0.0055651863,p4p
0.0048521514,p4p
0.0062650440,p4p
0.0056618194,p4p
0.0051566920,p4p
0.0046530287,p4p
0.0082855536,real
0.0094993236,real
0.0092665257,real
0.0100732654,real
0.0092313864,real
0.0085900942,real
0.0090835085,real
0.0100952275,real
0.0107087011,real
0.0099619910,real
0.0081493889,real
0.0081772075,real
0.0081435323,real
0.0080176165,real
0.0066706101,real
0.0059385414,real
0.0059107228,real
0.0049092528,real
0.0032313513,real
0.0028536038,real
0.0029077769,real
0.0032620982,real
0.0033104147,real
0.0035549257,real
0.0030336927,real
0.0056442497,real
0.0048433666,real
0.0062957909,real
0.0056808532,real
0.0051727975,real
0.0046515646,real
0.0071176097,p35p
0.0057538529,p35p
0.0071249339,p35p
0.0073197563,p35p
0.0062387117,p35p
0.0061273846,p35p
0.0068949556,p35p
0.0067367539,p35p
0.0067733747,p35p
0.0068803073,p35p
0.0071556953,p35p
0.0076039334,p35p
0.0043871663,p35p
0.0043798422,p35p
0.0040063105,p35p
0.0058402778,p35p
0.0049892115,p35p
0.0053642080,p35p
0.0059486753,p35p
0.0064408582,p35p
0.0069389005,p35p
0.0061259197,p35p
0.0017167809,p35p
0.0023642359,p35p
0.0044179278,p35p
0.0068012064,p35p
0.0060570727,p35p
0.0057040486,p35p
0.0053012204,p35p
0.0046918510,p35p
0.0038861944,p35p
0.0071278636,p4p
0.0057523880,p4p
0.0070956373,p4p
0.0072523741,p4p
0.0062167392,p4p
0.0061142011,p4p
0.0069769861,p4p
0.0067455429,p4p
0.0067909526,p4p
0.0069139984,p4p
0.0072054996,p4p
0.0076581321,p4p
0.0043886312,p4p
0.0043681235,p4p
0.0041059189,p4p
0.0056776817,p4p
0.0045365790,p4p
0.0052440920,p4p
0.0059164490,p4p
0.0065082404,p4p
0.0070809890,p4p
0.0061449625,p4p
0.0017299644,p4p
0.0022983185,p4p
0.0045131417,p4p
0.0069667322,p4p
0.0060746507,p4p
0.0056630334,p4p
0.0052851072,p4p
0.0046742730,p4p
0.0038510385,p4p
0.0071996402,real
0.0058812931,real
0.0071410470,real
0.0073007135,real
0.0062987697,real
0.0060468189,real
0.0068832369,real
0.0067719098,real
0.0068217141,real
0.0070106771,real
0.0072846004,real
0.0077504164,real
0.0043695884,real
0.0043227138,real
0.0038568978,real
0.0053935047,real
0.0046332578,real
0.0050653827,real
0.0057831495,real
0.0063266015,real
0.0068583348,real
0.0059940850,real
0.0016772305,real
0.0023906028,real
0.0045204659,real
0.0069740564,real
0.0061683998,real
0.0057260211,real
0.0053568839,real
