f,algo
0.0015864358,p35p
0.0046947944,p4p
0.0013577076,p4p
0.0019867103,p4p
0.0007316372,p4p
0.0005542262,p4p
0.0013166538,p4p
0.0006568607,p4p
0.0009471696,p4p
0.0079688343,p4p
0.0384937950,p4p
0.0031802027,p4p
0.0037916110,p4p
0.0019119338,p4p
0.0005776855,p4p
0.0014163558,p4p
0.0016905365,p4p
0.0035232951,p4p
0.0033722758,p4p
0.0033370868,p4p
0.0018474206,p4p
0.0012301476,p4p
0.0011231145,p4p
0.0010307434,p4p
0.0018371572,p4p
0.0036875103,p4p
0.0042285406,p4p
0.0016641448,p4p
0.4209641190,p4p
0.0019383255,p4p
0.0014632745,p4p
0.0030145213,real
0.0025204096,real
0.0017843738,real
0.0013386469,real
0.0002873765,real
0.0014794027,real
0.0008034814,real
0.0010981889,real
0.0158247707,real
0.0035438220,real
0.0038311985,real
0.0100508481,real
0.0015937669,real
0.0017726441,real
0.0028693668,real
0.0013562413,real
0.0031963310,real
0.0035892744,real
0.0036449903,real
0.0019119338,real
0.0009632979,real
0.0008870552,real
0.0007638938,real
0.0019940413,real
0.0038854482,real
0.0049000633,real
0.0018459544,real
0.0024163089,real
0.0011289793,real
0.0017961034,real
0.0018854227,p35p
0.0244639420,p35p
0.0011594768,p35p
0.0045462547,p35p
0.0007084883,p35p
0.1080568362,p35p
0.0032922158,p35p
0.0020323577,p35p
0.0136780437,p35p
0.0023335016,p35p
0.0022593067,p35p
0.0052620170,p35p
0.0031961989,p35p
0.0025953659,p35p
0.0019959877,p35p
0.0017428522,p35p
0.0020760017,p35p
0.0029241510,p35p
0.0051063533,p35p
0.0023174988,p35p
0.0018403239,p4p
0.0205345232,p4p
0.0014082479,p4p
0.0043542209,p4p
0.0003898868,p4p
0.0055398841,p4p
0.0027539392,p4p
0.0020105357,p4p
0.0128706289,p4p
0.0066513525,p4p
0.0044138677,p4p
0.0020381769,p4p
0.0056489942,p4p
0.0029066934,p4p
0.0023247728,p4p
0.0019072448,p4p
0.0015915528,p4p
0.0021356486,p4p
0.0026651963,p4p
