std0.0,std0.5,std1.0,std1.5
8.106e-15,0.00086636,0.032885,0.018474
5.2432e-11,0.017599,0.021875,-1
8.1347e-14,0.015304,0.21096,0.15539
5.496e-12,-1,0.25113,0.030367
8.2644e-14,0.10587,0.0058681,0.019541
5.3208e-12,0.031914,0.13907,-1
3.1007e-14,-1,0.2374,0.098885
3.1587e-11,0.00092187,-1,0.060555
1.0805e-13,-1,0.038676,-1
3.0298e-14,0.021493,-1,0.052419
3.6189e-13,-1,0.010524,0.0072597
1.7923e-11,0.0071803,-1,0.075742
1.771e-12,0.013138,0.013613,-1
3.4675e-14,0.0057839,-1,0.027033
6.7966e-14,0.055701,-1,-1
1.7303e-12,-1,110.12,0.0151
5.3791e-10,-1,0.093775,-1
9.128e-14,0.026077,0.03047,0.21266
4.8312e-14,0.037535,0.020683,-1
1.4342e-11,0.0021106,0.1728,0.046427
9.8541e-13,0.10133,0.025452,-1
2.5714e-13,0.066505,-1,0.0057719
1.2017e-13,0.07807,0.097104,0.029975
2.2151e-13,0.03231,0.10529,0.03125
5.7153e-14,0.00083671,-1,-1
1.0226e-13,0.11868,0.034117,0.022383
2.3917e-14,0.0074124,0.18816,0.013912
4.2926e-12,0.0027859,-1,0.08461
5.8699e-14,0.061815,0.026841,0.014844
8.6074e-11,0.10501,-1,0.0039324
8.4839e-15,0.10426,4.1233,0.015427
4.6152e-14,0.0071173,0.12705,-1
6.5225e-12,0.055498,0.04942,0.019089
1.1928e-14,0.0013728,-1,1.2134
1.994e-14,0.5524,0.10397,0.017011
8.5605e-15,0.0090677,-1,-1
7.4336e-15,0.022199,-1,0.0076347
1.345e-12,0.0026617,0.039341,0.044404
3.9521e-15,0.067497,0.042489,0.016582
2.8289e-13,0.010791,0.0049475,-1
1.7116e-11,0.084601,0.0070101,0.11856
4.2363e-13,-1,0.056248,-1
3.5055e-14,0.0031712,-1,-1
2.6073e-10,4.3837,5.0867,0.010587
1.2236e-14,0.00025336,-1,0.01299
2.1823e-12,0.018307,-1,0.015486
6.7613e-14,0.012691,0.021448,0.042953
1.4936e-13,0.012298,0.086803,0.010234
1.6324e-14,0.049044,-1,0.00072257
3.9648e-12,0.081511,0.06134,0.008667
1.0492e-15,0.09116,0.061252,0.063967
4.653e-15,0.015501,0.018378,-1
5.6681e-13,0.0049011,-1,-1
1.0935e-14,-1,-1,0.0045928
1.4268e-12,0.11783,0.054128,-1
5.2134e-16,-1,0.00011707,-1
8.2194e-16,0.0057026,0.01533,-1
4.0849e-14,0.0041014,0.00073011,-1
1.0783e-13,0.0046199,0.034219,-1
2.9635e-14,-1,-1,0.02715
2.2341e-12,-1,-1,0.027937
2.4245e-14,-1,0.084721,-1
5.2553e-14,0.044294,0.093683,0.016037
9.6498e-14,0.00040631,-1,0.021466
4.3174e-14,0.15488,-1,0.034413
4.956e-12,0.0043203,0.16913,0.031151
9.7747e-15,0.0081744,0.16681,0.33194
2.3788e-14,0.031159,0.0061124,0.049591
5.8958e-07,0.043093,0.024565,0.15002
1.3513e-13,-1,0.081557,0.053365
4.3724e-14,-1,-1,-1
3.1098e-14,0.012457,-1,0.0027916
1.7065e-14,0.038001,0.031279,-1
4.0502e-14,0.093602,-1,0.048159
4.9296e-14,0.034044,0.014444,0.022106
5.2961e-12,0.020389,0.033103,0.43701
2.3162e-15,0.00076539,0.046829,1.8779
3.8704e-09,0.034562,0.015668,0.098164
3.0288e-15,0.010441,16.152,0.066452
2.2233e-13,0.013867,-1,-1
2.5563e-14,0.016303,0.042231,0.021421
6.5876e-12,0.011687,-1,-1
1.6642e-11,-1,0.0074207,0.028502
1.0259e-13,0.034959,-1,0.009516
1.8958e-11,0.19716,0.013299,0.031689
3.7383e-14,0.013528,0.023582,0.054095
3.3689e-14,0.0017974,-1,-1
1.4058e-13,0.006227,0.22841,0.06278
4.9461e-15,0.015968,0.0068926,0.14006
2.3635e-14,0.028443,-1,20.238
2.6081e-13,-1,0.036795,-1
1.6687e-15,-1,-1,0.029641
2.3619e-13,0.02336,-1,0.0046509
2.0978e-13,0.007522,0.010718,0.024859
3.0731e-14,0.010552,0.076673,0.12696
7.2747e-15,0.77516,0.26407,0.0072521
1.4218e-11,0.020377,0.064736,-1
1.1721e-14,0.0048811,0.11156,0.030177
2.1302e-14,0.68021,0.006637,0.017325
3.6881e-13,0.016621,0.10704,0.032755
3.2338e-14,0.022727,0.0067663,0.016197
8.4681e-09,-1,0.1743,0.098053
4.6886e-15,-1,0.13645,-1
9.6836e-14,0.020277,0.099748,-1
4.3029e-12,0.0080608,0.0052954,0.001707
7.8777e-08,0.0090571,0.014564,0.066673
1.7806e-14,-1,0.00030131,-1
4.5546e-13,-1,0.036502,-1
3.8847e-14,0.12304,0.023011,0.071643
5.4103e-13,0.010847,-1,-1
3.1675e-15,0.0050291,-1,0.69107
5.3119e-14,9.7628e-05,-1,0.012748
2.534e-08,0.0054213,0.014792,-1
3.8263e-09,0.0027829,0.027535,-1
9.7731e-14,0.0039216,-1,-1
1.8117e-13,9.6233e-05,-1,0.020486
4.5756e-13,0.0073026,-1,0.0063451
1.1019e-14,0.023401,0.018054,0.21782
2.4437e-14,0.079666,-1,0.11667
1.808e-14,0.0088701,-1,0.081009
4.9184e-15,-1,-1,-1
1.21e-13,0.028123,0.0046327,0.040204
1.0934e-12,0.03767,0.078961,-1
1.4375e-14,0.0049593,-1,-1
1.1017e-14,-1,0.053754,0.055371
1.9586e-14,0.014403,-1,-1
7.7185e-14,0.015586,0.006731,0.030334
1.803e-14,0.10343,0.004106,-1
1.5852e-14,6.4984e-05,0.010103,-1
1.406e-12,0.022145,0.0066209,0.18987
1.2308e-11,0.010612,-1,0.081971
7.3888e-12,-1,0.036009,1.102
2.8308e-09,0.012747,0.13553,-1
3.426e-12,-1,0.28638,0.05447
1.8153e-15,0.15297,0.064005,0.074826
5.6872e-14,0.0033295,0.21063,0.040594
6.1161e-15,0.00088363,0.034121,0.018363
3.4469e-11,0.0083345,0.014222,-1
6.262e-13,0.049612,0.010103,1.752
1.9609e-15,0.046832,0.082853,-1
1.4892e-13,-1,0.009747,0.15009
3.1894e-15,0.0052896,0.046808,-1
4.5705e-14,0.20426,-1,0.13729
5.363e-14,0.1179,-1,-1
1.458e-13,0.021494,-1,0.01429
1.5013e-12,0.00084631,0.06859,0.014396
2.7727e-12,0.030555,0.52122,0.051236
9.2941e-14,0.00091441,0.004106,-1
4.1204e-14,-1,-1,0.0023121
3.2329e-12,0.03013,-1,0.038213
3.7238e-11,0.0093624,-1,0.040528
2.6261e-10,0.0055236,0.017057,0.032139
4.1245e-12,0.058721,0.051815,-1
6.1192e-15,-1,-1,0.043911
2.5106e-11,0.024502,0.064949,0.074508
1.3046e-13,0.061301,0.14254,0.010512
7.9477e-13,0.010356,0.014872,-1
1.6418e-15,-1,0.0030768,0.010829
1.5534e-14,0.077502,8.3005e-05,0.023387
6.4439e-09,0.024897,-1,-1
4.371e-14,0.1544,0.1742,-1
1.4987e-14,0.019982,0.01572,0.030817
1.5741e-11,0.0018818,0.0073375,-1
1.0686e-14,0.019919,0.041572,0.23779
2.0132e-13,0.0097547,0.060719,0.05054
8.6086e-14,0.0037686,0.062761,-1
9.8285e-15,0.044391,0.017425,0.10901
1.0538e-15,0.0019861,0.0063925,-1
4.5922e-16,0.10564,-1,0.058147
2.676e-15,0.013727,407.39,-1
8.4617e-15,-1,0.024454,0.016797
9.5596e-15,0.097592,0.015781,0.0093917
2.934e-13,0.02588,0.18329,0.021651
2.03e-12,0.0017589,0.0042751,0.015052
2.1107e-14,0.023711,0.021791,0.019111
9.7737e-13,0.00029969,0.051323,-1
4.6603e-13,0.0092091,0.030735,0.041837
0,0.013345,0.0014571,0.0422
1.2841e-12,0.006734,0.023453,-1
1.4813e-12,0.016021,-1,-1
1.0829e-09,-1,-1,-1
1.9508e-10,0.53496,0.017305,0.034334
4.7758e-14,0.0067775,0.0010357,0.040642
2.0889e-13,0.056529,0.064874,0.027153
4.1482e-15,0.00014761,-1,0.072411
8.0783e-16,0.019506,0.095664,13.365
3.2017e-09,0.005499,0.051886,0.015022
1.0732e-15,0.010142,0.014817,0.030173
2.2316e-12,0.0036009,0.080577,0.098444
4.2334e-15,0.031257,0.031681,0.052915
2.6267e-14,0.21358,0.036146,0.0017637
7.8342e-14,0.0025173,0.025944,-1
3.0022e-15,0.02113,0.001302,-1
2.1026e-15,0.0034209,-1,0.01915
4.3614e-11,0.026948,0.02948,0.0048507
5.5075e-15,0.037711,0.26972,0.057027
3.7088e-14,0.039697,-1,0.00060227
1.5414e-15,0.06659,0.015558,0.0072104
2.7513e-16,0.033334,0.0017871,-1
9.8103e-14,0.036147,0.050889,-1
2.0375e-14,0.027617,0.14626,0.059549
5.6243e-14,0.072346,0.50558,0.052106
3.5592e-13,-1,55.96,-1
2.4563e-12,-1,-1,0.081985
5.1518e-14,0.0029245,0.17515,0.10779
1.4335e-15,0.0081472,0.21731,0.037024
2.0952e-14,-1,0.20688,0.016916
1.8236e-11,-1,0.019867,0.11683
1.3159e-13,0.027113,0.00063153,-1
1.7317e-14,0.0062585,0.0092752,0.017341
3.1497e-15,0.14188,0.26944,0.12649
4.6266e-13,7.3926e-05,0.055824,0.0064663
1.431e-14,0.022146,0.14959,68.806
1.0484e-15,0.01869,-1,5.0872
2.337e-14,0.0053464,0.14094,-1
1.0685e-14,0.0388,0.012642,0.047031
5.1417e-16,-1,0.013914,0.036634
1.5479e-14,0.076551,0.0088418,0.022426
4.0083e-16,0.010633,0.10747,0.097421
3.5759e-15,-1,0.007042,0.042649
7.9267e-14,0.016042,-1,0.027509
5.2884e-14,0.049404,0.01309,0.048499
7.5804e-12,0.055966,0.020448,0.01889
9.7709e-14,0.0094053,0.032868,0.0064651
4.3044e-14,0.012823,-1,-1
2.9369e-13,0.021127,0.47174,0.33451
1.9515e-13,0.011255,0.014038,-1
1.9723e-14,-1,0.033419,-1
7.5484e-14,0.0017718,-1,0.0044483
2.4771e-15,0.013087,0.057023,0.06275
2.3977e-07,0.04404,0.29469,0.15939
1.2556e-14,0.008133,0.02089,0.030311
1.6772e-13,0.0040422,0.2336,-1
1.7759e-14,0.16071,-1,0.0092659
6.263e-14,0.031118,0.27792,-1
7.1101e-13,0.020664,0.024965,-1
3.6502e-14,0.068931,0.024481,-1
2.3557e-14,0.0090833,0.034246,-1
4.8559e-15,0.025221,-1,-1
3.7267e-12,0.06725,0.016948,0.0035312
1.5012e-11,0.27556,-1,0.037078
4.6677e-14,0.01627,0.038331,0.16762
9.2713e-15,0.013168,0.0011827,-1
3.4506e-14,0.0096989,0.0058864,0.021237
2.6286e-14,0.012484,-1,0.037908
5.1195e-14,-1,-1,-1
8.911e-14,0.01694,-1,-1
1.7281e-08,0.01085,0.080694,0.034201
1.3759e-14,0.02608,0.12857,0.013606
9.061e-11,0.016785,0.0057007,-1
5.3406e-13,0.0015807,0.023302,0.032397
1.5216e-14,0.053689,-1,0.6848
3.7824e-13,0.023215,0.039765,0.033938
2.92e-14,0.046326,0.073009,0.036026
8.4223e-15,0.021609,0.017135,0.0023654
2.9301e-09,0.10095,0.086197,9.2764
9.233e-15,0.021444,0.003148,0.02834
4.6102e-14,0.011781,0.32604,-1
4.5247e-14,0.01125,-1,0.0050585
9.0752e-15,0.080198,-1,0.20057
2.0528e-14,0.020732,-1,0.0073656
7.324e-15,0.0033123,0.0077284,-1
3.0985e-14,0.012321,0.01284,-1
4.4632e-14,0.0020203,0.05834,-1
8.6636e-11,0.035766,-1,0.083376
3.1178e-10,0.013149,0.02595,0.0046005
6.3717e-14,0.019394,0.062768,0.14861
2.4244e-12,-1,0.0099171,0.058646
4.0316e-14,-1,0.092567,-1
5.1667e-13,-1,0.055217,0.063963
1.7209e-15,0.0033171,0.010201,0.19038
2.3095e-12,0.013158,0.084245,0.008265
7.7481e-13,-1,-1,-1
1.0026e-12,0.001287,0.049202,0.15404
3.5755e-13,0.011361,0.042793,0.009749
1.4519e-12,0.013679,0.28202,0.12175
1.0868e-13,0.020135,-1,0.0042755
1.8775e-13,0.011591,0.0078765,-1
9.7947e-15,0.027647,0.0090683,-1
3.3793e-14,-1,0.055996,0.039886
2.3329e-13,0.0044673,-1,-1
2.2874e-08,0.2242,0.81489,-1
7.1297e-13,-1,0.039723,-1
1.308e-12,0.0079229,0.0028731,-1
9.5307e-14,0.03084,0.034272,-1
7.9841e-10,-1,0.031588,0.23211
2.6292e-14,0.0088796,-1,0.022814
0,0.10126,0.0057404,4.8715e-05
1.6507e-16,0.029395,0.054856,-1
1.2374e-13,0.03458,-1,0.045625
1.5751e-11,0.019304,-1,29.416
1.2488e-13,-1,0.13523,0.060768
3.9845e-09,-1,3.1689,0.092616
1.1589e-15,0.0048996,0.013176,-1
8.6308e-14,0.022399,-1,0.011211
2.5255e-13,-1,0.028345,0.0029779
2.0406e-14,0.2101,0.02145,1.3891
8.1554e-15,0.0024725,-1,0.16324
5.5383e-14,0.053705,0.061881,0.051389
7.1358e-14,0.001597,-1,0.087166
7.3174e-12,0.0026457,0.11454,-1
2.688e-07,0.036299,0.13751,0.090791
2.8818e-15,-1,0.0043147,-1
4.1127e-14,0.038248,0.1283,0.17945
1.0292e-14,-1,-1,0.0043184
3.9503e-11,0.012226,0.45743,0.19311
1.364e-11,0.13785,0.27897,0.00083706
3.539e-11,-1,-1,0.024658
1.4116e-13,0.00018854,0.057328,-1
2.5794e-12,0.23729,0.019084,0.99845
1.9125e-10,0.1216,0.08735,0.049917
7.996e-13,-1,-1,0.14138
3.8601e-15,0.0068879,0.0096907,0.035999
4.1941e-10,0.14649,0.044339,-1
3.6523e-16,0.035414,0.12843,0.0034493
1.4023e-14,0.010721,0.036981,0.0020604
8.2224e-16,0.10549,-1,-1
4.3613e-13,0.017859,0.012187,-1
4.8712e-13,0.0030346,0.033241,0.034412
1.6641e-13,0.030864,0.020684,-1
6.1788e-14,-1,0.028369,-1
4.7507e-12,-1,0.28465,0.017627
2.175e-11,-1,0.052096,0.019457
1.9268e-13,-1,0.020654,0.0041327
3.4146e-15,0.00024054,1.2987,0.033972
1.5623e-15,0.0017819,-1,0.020834
