dF,dR,dC,dt,N
5.2535e-05,6.3735e-06,0.0002862,0.000676,1
7.4204e-05,3.3038e-05,0.0022822,0.000673,1
1.6279e-05,0.00014408,0.0048624,0.00096,1
6.3963e-05,1.774e-05,0.0012693,0.0011,1
9.6396e-06,7.3648e-06,0.00059137,0.00112,1
6.151e-06,1.3305e-05,0.00056354,0.001008,1
0.00011943,2.0427e-05,0.0017615,0.000682,1
1.8281e-06,1.0075e-05,0.00029682,0.001156,2
1.6254e-06,1.8587e-07,1.519e-05,0.000944,1
4.693e-07,1.384e-06,4.3491e-05,0.000716,1
4.3853e-06,6.4072e-06,0.00018529,0.001137,3
0.0072956,0.0098282,0.30151,0.000962,1
0.00057647,0.00086296,0.19379,0.000909,1
1.8492,0.082202,17.66,0.000675,1
0.0012142,0.0013697,0.024036,0.000932,1
2.3501e-05,4.4597e-06,0.00016952,0.000698,1
0.00011605,3.2245e-05,0.0011957,0.00088,1
0.00033755,0.00010177,0.005553,0.001155,1
3.8599e-07,1.6122e-06,0.0001138,0.001209,1
1.9643e-05,1.3915e-06,0.0003977,0.000919,1
0.00016486,6.6376e-05,0.0031325,0.000898,1
1.5432e-05,1.4141e-06,0.0002188,0.000675,1
4.6293e-06,7.0366e-07,3.5432e-05,0.000891,2
8.6433e-07,8.0286e-06,0.00023752,0.000922,1
0.0015868,0.00074841,0.028161,0.0009,1
6.0436e-06,6.7098e-07,0.00011442,0.000949,1
4.5623e-06,7.4987e-07,3.928e-05,0.000901,1
7.1567e-05,0.00012571,0.0027937,0.000923,1
1.9465e-06,1.1018e-06,6.464e-05,0.000899,1
2.2714e-05,1.3912e-05,0.00021224,0.00087,1
5.7226e-06,4.1614e-07,5.9399e-05,0.001212,1
0.002811,0.0023349,0.098395,0.001253,1
2.5657e-05,7.4815e-06,0.00025445,0.000935,2
8.1138e-05,7.533e-05,0.0015121,0.001201,2
0.00027788,0.00025769,0.017374,0.000947,1
1.3029e-05,7.0045e-06,0.00013455,0.000726,1
6.9187e-06,1.555e-05,0.00045895,0.000987,1
2.2569e-06,1.3855e-05,0.00025136,0.000901,1
1.0614e-05,3.508e-06,0.00017962,0.000699,1
3.6895e-06,0.000299,0.0074697,0.001213,1
4.2556e-06,9.1073e-06,0.00023226,0.000915,1
1.0948e-05,8.0631e-06,0.00021754,0.000947,1
0.00026658,0.00011475,0.0044765,0.000688,1
6.7511e-05,1.1984e-05,0.0010531,0.001048,1
3.5667e-06,5.0402e-07,3.2163e-05,0.000692,2
0.00071831,0.0015767,0.01083,0.000972,1
2.0806e-05,8.6937e-07,0.00017051,0.000685,1
8.0533e-07,5.7845e-07,1.5668e-05,0.00096,1
4.1018e-05,3.1611e-06,0.00055591,0.000643,1
4.0791e-06,3.2891e-05,0.00015069,0.001386,2
8.1658e-08,3.9972e-06,8.2319e-05,0.000874,1
0.0063495,0.0035769,0.088399,0.001199,1
0.00038525,0.00014127,0.0066951,0.000624,1
0.011858,0.0020724,0.10942,0.00143,1
9.0441e-06,2.7956e-06,8.9667e-05,0.001142,1
0.00018376,8.7153e-05,0.0023499,0.000914,1
1.0888e-05,2.1257e-06,0.00014016,0.000898,1
1.3779e-05,1.3245e-06,0.00015891,0.000728,1
1.5158e-06,2.9399e-07,1.411e-05,0.000998,1
0.00033024,5.736e-05,0.0029677,0.001013,1
4.6418e-06,7.6083e-06,0.0002092,0.001389,3
0.0002332,2.4675e-05,0.0045605,0.000673,2
5.8717e-05,3.0681e-05,0.0013863,0.000665,1
0.00012547,1.7187e-05,0.0010124,0.000647,1
