dF,dR,dC,dt,N
4.846e-05,2.7344e-06,0.0005426,0.000147,1
5.8841e-08,3.5437e-07,5.0859e-06,0.000234,1
8.3087e-07,4.113e-07,1.358e-05,0.000156,1
4.9685e-05,1.0446e-06,0.00048324,0.000153,1
1.4678e-06,1.2526e-06,7.0543e-05,0.000153,1
0.00014812,2.403e-05,0.0021809,0.000162,1
0.00032662,9.7683e-06,0.0060241,0.000156,1
2.041e-05,7.1036e-07,0.0003334,0.000151,1
1.1283e-05,2.6028e-06,0.00018571,0.00015,1
1.0932e-05,1.1905e-06,0.00013382,0.000163,1
1.545e-05,9.1091e-07,0.00061659,0.000151,1
3.9919e-05,3.8601e-07,0.00058035,0.000153,1
5.0933e-06,6.232e-07,5.6263e-05,0.000156,1
6.4154e-06,2.2422e-06,0.00017716,0.000143,1
7.7613e-05,2.3906e-06,0.00066577,0.000162,1
3.621e-05,4.2213e-06,0.00052659,0.000149,1
1.5655e-05,1.7517e-06,8.4201e-05,0.000149,1
6.2242e-06,2.19e-07,4.1421e-05,0.000161,1
4.778e-05,1.4731e-06,0.00058621,0.000161,1
3.8487e-06,7.9327e-06,0.00028679,0.000149,1
1.7083e-05,3.1633e-06,0.00014695,0.000161,1
1.93e-05,3.8926e-07,0.00014627,0.000151,1
1.7972e-05,1.1266e-06,0.0001925,0.00017,1
0.00018369,6.3856e-06,0.002505,0.000152,1
5.6725e-05,2.2112e-06,0.00087744,0.000157,1
0.00010161,5.0059e-07,0.0014825,0.000151,1
7.9166e-05,1.7016e-06,0.0013885,0.000171,1
1.6749e-05,1.9452e-06,0.0001889,0.000144,1
4.6524e-06,1.1714e-07,7.3358e-05,0.000139,1
0.00020086,1.0047e-05,0.0014068,0.000183,1
0.0001096,5.0971e-06,0.0012167,0.000161,1
1.1571e-05,3.6946e-07,0.00018872,0.000146,1
3.0761e-05,8.0155e-07,0.00033618,0.000144,1
0.0001396,6.1058e-06,0.0022519,0.000751,1
0.00013259,5.4822e-06,0.001519,0.000147,1
1.9691e-05,1.747e-06,0.00021837,0.000147,1
8.6711e-06,6.4461e-07,0.00020118,0.000154,1
0.00010777,4.8036e-06,0.0012725,0.000148,1
1.8644e-05,2.8528e-07,0.00018621,0.000146,1
5.3432e-06,8.0032e-07,0.00010632,0.000151,1
4.5152e-06,2.6881e-07,4.2434e-05,0.000151,1
9.7096e-05,5.0125e-06,0.0012872,0.000147,1
3.4765e-05,1.412e-06,0.00031723,0.000153,1
3.4617e-06,7.1657e-07,2.3347e-05,0.000144,1
7.8058e-05,7.4801e-07,0.00061153,0.00015,1
0.0001447,4.0558e-07,0.0018892,0.000156,1
7.2196e-06,2.6253e-06,9.7173e-05,0.000166,1
7.3175e-05,2.5532e-05,0.00086551,0.000144,1
1.3761e-06,9.7625e-08,1.7844e-05,0.000177,1
2.7178e-05,3.8358e-07,0.00059428,0.000148,1
0.00012833,1.0738e-06,0.0014413,0.000157,1
4.3018e-05,1.0922e-06,0.00034925,0.000151,1
1.2741e-05,6.3224e-07,0.00012611,0.000143,1
8.5622e-06,3.0058e-07,0.00013792,0.000152,1
2.0879e-06,3.3858e-07,2.3922e-05,0.00014,1
3.6762e-06,1.891e-06,8.122e-05,0.000151,1
3.8226e-06,2.3762e-07,3.251e-05,0.000157,1
3.8398e-06,5.4671e-07,3.1894e-05,0.000158,1
8.883e-05,7.6834e-06,0.00076858,0.00015,1
1.5894e-06,4.6106e-07,5.9569e-05,0.000148,1
2.0672e-05,2.2546e-06,0.00040326,0.000154,1
5.0409e-06,9.9542e-08,4.8573e-05,0.000147,1
1.4036e-05,3.5245e-07,0.00019109,0.00015,1
7.7572e-05,7.8518e-07,0.0013245,0.000188,1
3.2885e-05,2.4946e-06,0.00086025,0.000168,1
3.8296e-06,6.7653e-07,0.00013399,0.000211,1
0.00017469,4.5812e-05,0.0016998,0.000267,1
9.2321e-05,5.3754e-07,0.0012044,0.000274,1
1.2279e-05,3.1266e-07,9.442e-05,0.00029,1
1.5271e-06,5.517e-06,0.00019289,0.000254,1
2.5356e-05,1.7403e-06,0.00015159,0.000259,1
0.00029616,1.264e-05,0.0022453,0.000261,1
8.549e-06,5.3268e-07,7.0685e-05,0.000245,1
2.2011e-05,6.3934e-07,0.00021286,0.000268,1
0.00014455,8.2734e-06,0.0022984,0.000254,1
0.00028018,2.5746e-06,0.0014801,0.000154,1
3.8417e-05,4.9896e-07,0.00053768,0.000149,1
1.3515e-06,2.5492e-07,1.2542e-05,0.000155,1
2.9222e-06,7.1347e-07,2.5658e-05,0.00015,1
6.1386e-07,5.2682e-07,2.6761e-05,0.000146,1
3.9548e-07,9.8959e-08,5.2329e-06,0.000163,1
3.0134e-05,1.4869e-06,0.00017822,0.000159,1
0.0011752,3.598e-05,0.01961,0.000144,1
2.9476e-05,1.1131e-06,0.00084431,0.000153,1
0.00013373,1.4585e-05,0.0014217,0.000156,1
7.2469e-06,5.5168e-07,9.4927e-05,0.000152,1
0.00013612,1.5377e-05,0.0012171,0.000142,1
4.8661e-06,4.2754e-07,5.039e-05,0.000164,1
6.3292e-05,1.7118e-06,0.0010548,0.00016,1
1.1894e-05,3.4159e-07,0.00015426,0.000149,1
3.7535e-05,3.0095e-06,0.00026806,0.000153,1
1.1359e-05,6.2689e-07,0.00016014,0.000153,1
